"stepNumber","stepTitle","id","question","placeholder","demoAnswer"
"1","Define the Business","current_description","How do you currently describe what you do — the sentence you'd use at a networking event or on your website?","e.g. I'm a leadership coach helping senior executives navigate career transitions.","I am a photographer specializing in executive portraits."
"1","Define the Business","who_you_serve","Who are your clients today? Be specific — are they individuals, teams, or companies? What roles or industries?","e.g. Mostly individual C-suite executives, occasionally referred by HR departments. Mix of finance, tech, and consulting.","Mostly individual C-suite executives — CEOs, founders, senior partners at law and consulting firms. Occasionally referred by HR or PR contacts, but they're paying as individuals."
"1","Define the Business","revenue","What's your approximate annual revenue, and how is it currently structured (project-based, hourly, retainer)?","e.g. ~€80K/year, all project-based. Some clients come back but there's no formal retainer structure.","Around €30–50K per year, all project-based. No retainers, no recurring work. Every project is quoted fresh."
"1","Define the Business","investor_view","If a potential investor looked at your business today — website, LinkedIn, how you talk about yourself — what would they see?","e.g. They'd see a freelancer. My name is in everything. There's no brand separate from me.","They'd see a freelancer. My name is on everything — website, Instagram, LinkedIn. There's no brand that exists separately from me."
"2","Clarify the Customer","client_type","Who are your current clients? Are they individuals or companies? What roles or industries?","e.g. Individual executives, occasionally referred by HR. Mix of finance, law, and tech.","Mostly individual C-suite executives — CEOs, founders, senior partners. Occasionally referred by HR or PR contacts but they're still paying as individuals."
"2","Clarify the Customer","how_they_find_you","How do clients find you? What's your main acquisition channel?","e.g. Almost entirely word of mouth. No outbound. Instagram brings a few enquiries.","Almost entirely word of mouth. No outbound strategy. They find me through LinkedIn or someone refers them."
"2","Clarify the Customer","deal_size","What's your average deal size and how often do clients come back?","e.g. €500–1,500 per shoot. Maybe 15% repeat within 18 months.","€500–1,500 per shoot. Maybe 10–15% come back within 18 months. No formal retention strategy."
"2","Clarify the Customer","ideal_client","If you could only serve one type of client going forward, who would it be and why?","e.g. HR or PR agencies — they'd send multiple executives at once and have ongoing needs.","HR or PR agencies. They represent multiple executives, have ongoing content needs, and would become repeat clients rather than one-offs."
"3","Productize the Offer","current_delivery","What does a typical engagement look like today? Walk me through the process from first contact to delivery.","e.g. Client reaches out, I quote a custom price, we book a date, I shoot and deliver edited photos 1–2 weeks later.","Client reaches out, we chat about their needs, I quote a custom price, we book a shoot day, I deliver edited photos 1–2 weeks later. Every engagement is different."
"3","Productize the Offer","current_pricing","How do you price today — day rates, hourly, per-image, or custom quotes?","e.g. Mostly day rates. €500 half-day, €900 full day, plus editing.","Day rates — €500 for a half-day, €900 for a full day, plus editing time. Sometimes per-image for smaller requests."
"3","Productize the Offer","package_attempts","Have you ever tried offering fixed packages or standardized deliverables? What happened?","e.g. I've thought about it but clients always have different needs so I quote custom.","I've thought about it but never formalized anything. Clients seem to have different needs each time so I always quote custom."
"3","Productize the Offer","highest_revenue_offer","What's your most common or highest-revenue type of engagement right now?","e.g. Full-day executive shoot with editing — €900–1,200 total.","Full-day executive shoots with full editing — usually €900–1,200 all in. That's the most common job."
"4","Build Delivery Systems","delivery_walkthrough","Walk me through exactly how a project gets delivered — from booking confirmation to final file handoff.","e.g. Client brief by phone → gear prep → shoot → cull in Lightroom → edit → WeTransfer delivery. 2–3 days total.","Client brief by phone, gear prep, shoot, cull in Lightroom, full edit, deliver via WeTransfer. About 2–3 days of work total per project."
"4","Build Delivery Systems","handover_risk","What would break first if you hired someone to take over a shoot tomorrow?","e.g. My editing style is mine. My client communication is mine. There's no brief they could follow.","Everything. My editing style, how I brief clients, how I handle on-site direction — none of it is written down."
"4","Build Delivery Systems","documentation","Are any of your workflows documented? Checklists, shoot briefs, editing presets, delivery templates?","e.g. Nothing written down. It's all in my head.","Nothing is written down. I have Lightroom presets but the entire process is in my head."
"4","Build Delivery Systems","time_drain","Where do you spend the most time in delivery that isn't the actual shoot?","e.g. Editing — 6–8 hours per shoot. And client back-and-forth on revisions.","Editing. Probably 6–8 hours per project. And client communication around revisions and delivery."
"5","Clarify Founder's Role","week_breakdown","What does a typical work week look like? How much time on delivery vs admin vs sales vs strategy?","e.g. 2–3 shoot days, rest is editing, emails, invoicing, social. About 60% execution, 40% admin.","2–3 shoot days a week, then editing, client emails, invoicing, some Instagram. About 60% execution, 40% admin and business development."
"5","Clarify Founder's Role","only_you","Which parts of the business could only you do right now? Which could theoretically be handed off?","e.g. Only I can shoot well. Everything else — admin, editing, invoicing — could be delegated but isn't.","Only I can shoot to my standard right now. Editing, admin, invoicing, and social media could theoretically be handed off."
"5","Clarify Founder's Role","disappear_test","If you disappeared for a month, what would break and what would keep running?","e.g. Everything breaks. No shoots booked, no editing done, no client comms.","Everything breaks. No shoots would happen, no invoices go out, no clients managed. The business stops entirely."
"5","Clarify Founder's Role","future_role","What part of the work do you genuinely want to still be doing in 3 years?","e.g. Creative direction and key client relationships. Not every shoot.","Creative direction and key client relationships. I'd like to stop being the person holding the camera at every single shoot."
"6","Add Team Capacity","team_experience","Have you ever worked with other people on a project — freelancers, assistants, or contractors?","e.g. Once with an assistant on a large shoot. Never another photographer under my brand.","Once or twice I've brought in an assistant for larger shoots, but never another photographer delivering work under my brand."
"6","Add Team Capacity","hiring_barrier","What's the biggest barrier to bringing on your first hire today?","e.g. I don't have a documented process they could follow. And I'm not sure clients would accept someone who isn't me.","I don't have a documented process they could follow. And I'm not confident clients would accept someone other than me."
"6","Add Team Capacity","first_delegation","If you had one trained person working under your brand tomorrow, what work would you give them?","e.g. Standard executive headshots — single subjects in an office. The routine, repeatable work.","Standard individual executive headshots — single subjects in a studio or office. The repeatable, lower-complexity shoots."
"6","Add Team Capacity","quality_standard","Can you describe your quality standard in writing — what does a successful delivery look like?","e.g. I couldn't write it down precisely today. It's intuitive. That's the problem.","Honestly, I couldn't write it down precisely today. It's intuitive — I'd know it when I see it. That's the problem."
"7","Create Recurring Revenue","recurring_today","How many current clients are on any kind of ongoing arrangement? What percentage of your revenue is recurring?","e.g. Zero. Every project is one-off. Some clients come back but there's no contract or commitment.","Zero. Every project is completely one-off. Some clients come back every 6–12 months but there's no contract, no commitment, no predictability."
"7","Create Recurring Revenue","retainer_attempts","Have you ever offered a retainer, subscription, or ongoing contract? What was the response?","e.g. Never formally. I've hinted at ongoing work but never priced it or put it in writing.","Never formally. I've mentioned ongoing work to a few clients but never structured or priced it properly."
"7","Create Recurring Revenue","recurring_candidate","What type of client would most benefit from regular content — and who might actually pay for it on contract?","e.g. Companies with active PR or IR teams. They refresh headshots, shoot events, produce leadership content regularly.","Companies with active PR or investor relations teams. They're constantly refreshing leadership content, team photos, event coverage."
"7","Create Recurring Revenue","retainer_design","If you were to design a simple annual retainer right now, what would it include and at what price?","e.g. 4 quarterly sessions — team and executive updates — at €3K each. €12K/year total.","4 quarterly sessions — team headshots, executive updates, content for social. €3K per session. Around €12K per year."
"8","Build Transferable Assets","what_buyer_gets","What would a buyer of your business actually receive today — not what you'd like to have, what actually exists?","e.g. My portfolio, my Instagram, my personal reputation. Nothing formally structured or transferable.","My portfolio, my Instagram following, and my personal reputation. Nothing formally structured or legally transferable."
"8","Build Transferable Assets","client_database","How is your client information stored? Do you have a CRM or client database?","e.g. Phone contacts and email threads. Client history lives in my memory.","Phone contacts and email threads. No CRM. Client history and preferences live entirely in my memory."
"8","Build Transferable Assets","ip_assets","What intellectual property have you created — presets, workflows, brand assets, templates, methodology?","e.g. Custom Lightroom presets I've built over 5 years. That's probably the only transferable IP.","Custom Lightroom presets I've developed over 5 years. That's probably the only thing that could be called transferable IP today."
"8","Build Transferable Assets","value_proof","What's the strongest evidence that your business has value beyond your personal talent?","e.g. 100+ executive shoots for recognizable companies. Strong portfolio documentation.","100+ completed executive shoots for recognizable Romanian companies. The portfolio quality is documented and consistent."
"9","Reduce Founder Dependency","client_request","When clients book, do they ask for you specifically or are they buying the studio's output?","e.g. Always by name. 'We want you' is literally what they say.","Always by name. 'We want Gia specifically' is what they say. The brand is completely tied to me personally."
"9","Reduce Founder Dependency","why_chosen","When a client chose you over alternatives recently, what was their stated reason?","e.g. 'We've worked with you before and trust you.' They've never tried anyone else.","A PR agency last month said 'we've worked with you before and we trust you.' They've never used another photographer."
"9","Reduce Founder Dependency","transfer_conditions","What would need to be true for a client to be equally happy working with someone you trained?","e.g. Same quality, same communication style, same brief process. And time — trust takes years.","Consistent quality, same communication style, same briefing process — and time. Trust built with me over years can't transfer instantly."
"9","Reduce Founder Dependency","keyman_score","On a scale of 1–10, how high is your key-person risk? What would it take to get to a 5?","e.g. 10/10 today. To get to 5: documented process, trained team, brand that clients trust independently.","10 out of 10. If I stopped tomorrow the business stops. To get to 5: trained team, documented process, and a brand clients trust independently of me."
"10","Show Market Expansion","geographic_revenue","What percentage of your revenue comes from outside your city? Outside your country?","e.g. 100% from one city. I've had one request from elsewhere but turned it down.","100% Bucharest. I've had one enquiry from Cluj and turned it down because of travel logistics. Zero international."
"10","Show Market Expansion","expansion_barriers","What's stopping you from serving clients in other cities or countries right now?","e.g. Travel costs, logistics, and I haven't marketed beyond my city.","Travel costs and logistics. And I've never marketed outside Romania or built any presence in other markets."
"10","Show Market Expansion","adjacent_markets","Which adjacent markets could your offer expand into without major structural changes?","e.g. Other regional capitals — similar corporate density, similar demand.","Other CEE capitals — Warsaw, Budapest, Prague. Similar corporate density, similar demand for executive branding content, similar pricing sensitivity."
"10","Show Market Expansion","tam_view","How would you describe the total market for your offer — locally and at scale?","e.g. Every company with a leadership team needs this. Locally it's a few million, regionally it's much larger.","Every company with a leadership team needs this content. In CEE alone there are tens of thousands of companies refreshing leadership content regularly."
"11","Build a Scalable Layer","digital_delivery","Is there any part of your offer that could be delivered digitally or without you physically present?","e.g. Not currently. Everything requires me on location.","Not currently. Everything requires me physically on location with equipment."
"11","Build a Scalable Layer","platform_thoughts","Have you considered building any tools, templates, or platforms — for clients or for your own operations?","e.g. I've thought about a client portal or AI-assisted editing. Never built anything.","I've thought about an AI-enhanced editing service and a client portal for briefs and delivery, but never built either."
"11","Build a Scalable Layer","tech_bottleneck","What's the biggest operational bottleneck that technology could realistically solve?","e.g. Editing time and client communication. Both are manual and slow.","Editing time and client communication back-and-forth. Both are completely manual and slow."
"11","Build a Scalable Layer","scale_without_time","If you had to double revenue without doubling your time, what would you build or buy?","e.g. A booking and content management system. Clients self-brief, team delivers, AI does first-pass editing.","A booking and content management system — clients self-brief, my team handles delivery, AI handles first-pass editing. I'd just QA."
"12","Define the Exit Scenario","exit_vision","Have you thought about what selling your business would look like? What does exit mean to you?","e.g. Vaguely. I know it's not sellable right now because it's just me.","I've thought about it vaguely. I know it's not sellable right now because it's just me. There's nothing to sell except my personal reputation."
"12","Define the Exit Scenario","buyer_type","What type of acquirer would make the most strategic sense — agency, tech company, media group, HR platform?","e.g. A PR or communications agency. They already serve our clients and need content production.","A PR or communications agency makes most sense. They already serve our clients and would benefit from owning a content production arm."
"12","Define the Exit Scenario","exit_conditions","What would need to be true about your business for a strategic buyer to be genuinely interested?","e.g. Consistent revenue, a team that runs without me, a recognizable brand. None of those exist yet.","Consistent revenue, a team that runs without me, a recognizable brand independent of my name. None of those exist yet."
"12","Define the Exit Scenario","exit_timeline","What's your personal timeline — when would you want to be exit-ready, and what revenue milestone matters?","e.g. 3–5 years. I'd want to be at €500K+ revenue with a real team first.","Realistically 3–5 years. I'd want to reach €500K+ in revenue with an actual team and systems before considering it."
"13","Choose Your Investors","funding_history","Have you ever raised external capital or worked with investors? What's your current relationship with funding?","e.g. No. Fully self-funded. I don't know much about how fundraising works.","No. Fully self-funded since the beginning. I don't have much knowledge or experience with fundraising."
"13","Choose Your Investors","funding_use","If you had €500K in growth capital today, what would you specifically spend it on?","e.g. 3 photographers, 1 editor, a booking platform, 12 months of market expansion.","3 photographers, 1 editor, building a booking platform, and 12 months of marketing to expand into 2–3 new markets."
"13","Choose Your Investors","strategic_value","Beyond money, what kind of investor would add the most value — what networks or expertise matter most?","e.g. Someone connected to PR agencies, HR networks, or media companies. Distribution matters more than capital.","Someone connected to PR agencies, HR tech, or media companies. Strategic distribution access matters more than the capital itself."
"13","Choose Your Investors","funding_structure","What's your preferred funding structure — equity, convertible note, loan, or revenue share?","e.g. Equity for the right strategic partner. 15–20% for someone who opens real doors.","Equity for the right strategic partner. I'd give up 15–20% for someone who genuinely opens doors, not just writes a cheque."
"14","Build AI Defensibility","ai_threat","How is AI already affecting your market? What do you think happens to your business in the next 3 years?","e.g. AI headshots exist at €30. But premium executive branding with real presence isn't commoditized yet.","AI headshots already exist for €30. It affects the low end. But premium executive branding — real people, consistent brand presence — clients still want humans for that."
"14","Build AI Defensibility","human_advantage","What does a client get from working with you that AI genuinely cannot replicate?","e.g. Trust, relationship, directing a nervous CEO, brand consistency across a full leadership team.","Trust, relationship, on-brand consistency across an executive team, and the ability to actually direct a nervous CEO in a real shoot."
"14","Build AI Defensibility","pricing_position","Where does your pricing sit relative to AI tools and low-cost alternatives?","e.g. Premium — €500–1,500 per session vs €30 for AI. We're not competing there.","Premium — €500–1,500 per session versus €30 for AI-generated headshots. We're not competing in the commodity tier."
"14","Build AI Defensibility","moat_statement","How would you describe your competitive advantage in one sentence?","e.g. Brand-consistent executive presence that stock imagery and AI can't replicate.","We deliver brand-consistent executive presence that stock imagery and AI tools simply cannot replicate."
"15","Long-term Performance Check","current_metrics","What business metrics do you track today beyond revenue and volume?","e.g. Revenue and shoots per month. That's it. No LTV, no retention rate, no margin tracking.","Revenue and number of shoots per month. That's all I track. No LTV, no CAC, no retention rate, no margin analysis."
"15","Long-term Performance Check","retention_ltv","What's your estimated client retention rate? Do you know your average client lifetime value?","e.g. Maybe 20–25% return within 18 months. No idea what lifetime value is.","I'd estimate 20–25% come back within 18 months. I've never calculated lifetime value formally."
"15","Long-term Performance Check","healthy_benchmark","What does a well-run version of this business look like in numbers — revenue, margin, retention, team?","e.g. 70%+ retention, 50%+ margins, €1M+ revenue, 3+ team members.","€1M+ revenue, 50%+ gross margins, 70%+ client retention, 3+ person team. That's what healthy looks like to me."
"15","Long-term Performance Check","north_star","If you could only track one KPI to know if the business is healthy, what would it be?","e.g. Client retention. If clients come back, everything else follows.","Client retention rate. If clients keep coming back, everything else — revenue, margins, referrals — tends to follow."
"16","Make the Ask","capital_amount","How much capital would you need to reach your next meaningful milestone, and how did you arrive at that number?","e.g. €500K — 12 months of team salaries, platform development, and marketing expansion.","Around €500K–€1M. I'd need 12 months of team costs, platform development, and marketing to expand into 2–3 new markets."
"16","Make the Ask","use_of_funds","What would you spend the capital on specifically — be as concrete as possible.","e.g. 3 photographers, 1 editor, booking platform build, 12 months of market expansion marketing.","3 photographers, 1 editor, a booking and content management platform, and 12 months of marketing to enter Warsaw, Budapest, and Prague."
"16","Make the Ask","funded_milestone","What is the milestone an investor would be funding toward — what does success look like at the end of this round?","e.g. €500K ARR, 50+ retainer clients, operational without founder on-set.","€500K+ in annual revenue, 50+ retainer clients, and the business running operationally without me on set for every shoot."
"16","Make the Ask","investor_offer","What are you offering investors in return — equity percentage, convertible note, revenue share?","e.g. 15–20% equity, or a convertible note at a reasonable cap. Depends on the partner.","15–20% equity for the right strategic partner. Open to a convertible note structure if it accelerates the path to partnership."
