"number","title","description","designMoveExample","howToDoItExample","exitImpact","pitchSlide"
"1","Define the Business","The foundation of an exitable company is a business identity that exists independently of its founder. Right now, most solo founders describe what they do in terms of themselves — 'I am a...' An investor or acquirer needs to see a company, not a person. This step reframes your identity from operator to owner.","We are a premium executive portrait studio for founders, leadership teams, and companies.","Rewrite your homepage headline to describe the company, not yourself
Replace 'I' with 'we' across your website and pitch materials
Create a company name and brand identity separate from your personal name
Update LinkedIn to position yourself as founder/CEO of [Company], not as a freelancer
Write a one-paragraph company description in third person","From person → company | ❌ Not sellable yet","Problem + positioning"
"2","Clarify the Customer","Exitable businesses serve repeatable customer segments, not random individuals. Right now you're probably taking whoever comes. An acquirer needs to see a defined, reachable, repeatable customer — ideally a B2B buyer who has ongoing needs for your service.","We serve HR teams, PR agencies, and executive search firms with recurring visual content needs.","Define your ideal B2B client segment in one paragraph
Audit your current client list and identify who could become repeat buyers
Create a one-page B2B client profile
Reach out to 5 HR or PR agencies with a tailored proposition
Stop quoting for anyone outside your defined segment","From occasional → repeat buyers | ⚠️ More stable demand","Customer segments"
"3","Productize the Offer","A custom service cannot be sold — it's too dependent on negotiation, founder judgment, and bespoke delivery. An exitable business sells defined products with known inputs, outputs, and prices. Productizing means the client knows exactly what they're buying before they talk to you.","Three fixed packages: Founder Day (€3K), Team Package (€6K), Content Kit (€10K).","Design 3 fixed packages with clear deliverables and prices
Remove custom quoting from your website
Test your pricing with 5 existing clients before publishing
Create a one-page package sheet you can send to any enquiry
Practice saying 'we don't do custom' to new enquiries","From custom → repeatable product | ✅ Predictability ↑","Business model"
"4","Build Delivery Systems","A business that runs on founder memory and improvisation cannot be transferred. Delivery systems — SOPs, templates, checklists, tools — make your business teachable, repeatable, and eventually replaceable. Without them, you don't have a business, you have a skill.","Every project follows the same SOP: brief template, shoot checklist, edit preset, delivery system.","Document your shoot checklist step-by-step — from gear pack to wrap
Write a client brief template that works without a phone call
Package your editing presets as documented, transferable IP
Create a delivery protocol: folder structure, file naming, handoff process
Test: could a competent professional follow your SOP without you present?","From talent → system | ✅ Transferable ops","Operations slide"
"5","Clarify Founder's Role","Every hour you spend executing is an hour not spent building. Founders who are also the primary delivery mechanism become the ceiling of their own business. This step forces clarity on what only you should do versus what the business should do — and begins separating the two.","Founder = creative director and sales lead. All execution handled by team and systems.","List every task you did last week and mark which only you can do
Move one recurring execution task off your plate this month
Write your own role description as if you were hiring a founder
Block 4 hours/week for business development only — protect it
Track how your time splits between execution vs building each week","From operator → builder | ⚠️ Reduces key-man risk","Team / org slide"
"6","Add Team Capacity","You cannot scale a business you're the only person in. Adding team capacity — even one trained person — multiplies your throughput, proves the business is teachable, and removes the hard ceiling on revenue. This is where the business starts to feel real.","A team of 3+ photographers and editors delivers under the brand with full quality control.","Write the job description for your first hire this week
Identify one person you could trial on a low-stakes project
Create a quality benchmark: 10 examples of 'this is what we deliver'
Design a simple training and QA process before they start
Book a project and let them deliver it — you review only","From capacity ceiling → scalable delivery | ✅ Capacity scales","Team slide"
"7","Create Recurring Revenue","One-off projects create one-off revenue. Exitable businesses have predictable, recurring income — because acquirers value certainty. A recurring revenue base doesn't just improve cash flow, it changes your valuation multiple entirely.","40% of revenue is recurring through annual retainers at €12K/year per client.","Identify 5 existing clients who could benefit from quarterly content
Design a simple retainer offer with 3 tiers
Price the retainer to reward commitment — not punish the client
Send a retainer proposal to 3 clients this month
Build a dashboard tracking % recurring vs one-off revenue","From unpredictable → predictable | ✅ Predictability ↑↑","Traction + revenue"
"8","Build Transferable Assets","If your business disappeared tomorrow, what would remain? A sellable business has assets that exist independently of the founder: a brand, a client database, documented IP, contracts, systems. This step inventories what you have and identifies what needs to be formalized.","Transferable assets: brand, 100+ client contracts, proprietary workflow system, Lightroom IP.","Build a CRM — even a spreadsheet is a start
Trademark your studio name and core brand assets
Formalize your Lightroom presets as documented, named IP
Get signed contracts and NDAs from all active clients
Create a one-page asset inventory: what we own, where it lives","From personal → assets | ✅ Sellable foundation","Moat / defensibility"
"9","Reduce Founder Dependency","The defining test of an exitable business: can it operate without you? Right now your clients probably want you specifically. This step measures your key-person risk and identifies what changes are needed to transfer client trust from you to the brand.","Over 70% of projects delivered without founder involvement. Clients trust the brand.","Introduce your top 10 clients to a team member — by name, in writing
Replace your name on client emails with studio branding
Have a team member lead one full client project from brief to delivery
Measure: what % of projects complete without you this month?
Credit the studio publicly — not yourself — for every win","From 'you' → company | ✅ Exit-ready structure","Org structure"
"10","Show Market Expansion","A local service business has limited value. An investor or acquirer needs to see a path to a larger market — regional, national, or beyond. This step establishes where you are geographically today and maps out how the business could credibly expand.","Regional executive branding studio operating across CEE — Romania, Poland, Hungary.","List 3 target markets with similar corporate density to yours
Research one potential local partner per market (agency, co-working, recruiter)
Create a market entry one-pager: TAM, target clients, entry strategy
Run one paid campaign in a new city and measure response
Make first contact with one potential regional partner this month","From niche → category | 🚀 Strategic value ↑","Market expansion"
